Plant_ID;Variety;Treatment;Chamber;Biomass1;Biomass2;Height;Phyllochron12;Phyllochron13;Phyllochron14;Phyllochron23;Phyllochron24;Phyllochron34;Phyllochron1S;Type
317;Semi-natural6;eCO2W;8;0,1870;4,053;41,2;12;18;27;6;15;9;48;Semi
318;Semi-natural7;eCO2W;8;0,0000;0,103;36,6;9;22;29;13;20;7;36;Semi
319;Semi-natural11;eCO2W;8;0,0070;0,223;33,8;12;18;28;6;16;10;-43829;Semi
320;Wild4;eCO2W;8;0,0140;0,678;31,1;10;16;25;6;15;9;43;Wild
321;Wild6;eCO2W;8;0,0140;0,518;46;10;19;26;9;16;7;36;Wild
322;Wild7;eCO2W;8;0,0280;1,225;30,2;9;15;24;6;15;9;42;Wild
323;Moy;eCO2W;8;0,0070;0,87;37,5;8;14;20;6;12;6;45;Cultivar
324;Lilora;eCO2W;8;0,1050;2,807;37,5;8;14;26;6;18;12;44;Cultivar
325;Solomon;eCO2W;8;0,1870;4,402;2,6;12;27;30;15;18;3;48;Cultivar
326;Carraig;eCO2W;8;0,2780;4,878;44,2;8;13;31;5;23;18;49;Cultivar
327;Dunluce;eCO2W;8;0,0490;1,16;48,1;12;15;24;3;12;9;42;Cultivar
328;Aberchoice;eCO2W;8;0,0380;0,562;48,7;11;17;26;6;15;9;37;Cultivar
329;Abergain;eCO2W;8;0,0540;1,261;44,6;10;16;25;6;15;9;43;Cultivar
330;Aspect;eCO2W;8;0,1070;2,185;53,5;11;14;26;3;15;12;44;Cultivar
331;Semi-natural6;eCO2W;8;0,0700;2,08;41,9;9;15;27;6;18;12;55;Semi
